group;subgroup;date;date_end;title;deadline;content;example;assignment;;;;
Análisis descriptivo;Sesión 1;6/08/2022;;Introducción a R y Rstudio;;content/01-content;example/rstudio-tidyverse;;;;;
Análisis descriptivo;Sesión 1;6/08/2022;14/08/2022;Problem set 1;11:59 p. m.;;;assignment/01-problem-set;;;;
Análisis descriptivo;Sesión 2;6/08/2022;;Análisis descriptivo univariado;;content/02-content;;;;;;
Análisis descriptivo;Sesión 2;6/08/2022;21/08/2022;Problem set 2;11:59 p. m.;;;assignment/02-problem-set;;;;
Análisis descriptivo;Sesión 3;13/08/2022;;Análisis descriptivo bivariado;;content/03-content;;;;;;
Análisis descriptivo;Sesión 3;13/08/2022;28/08/2022;Problem set 3;11:59 p. m.;;;assignment/01-eval-background-theory;;;;
Análisis descriptivo;Sesión 4;13/08/2022;;Reporte descriptivo reproducible;;content/04-content;example/dags;;;;;
Análisis descriptivo;Sesión 4;13/08/2022;4/09/2022;Problem set 4;11:59 p. m.;;;assignment/02-eval-measurement;;;;
Principios de inferencia;Sesión 5;20/08/2022;;Principios de inferencia estadística;;content/05-content;example/po-ate-cate;;;;;
Principios de inferencia;Sesión 5;20/08/2022;11/09/2022;Problem set 5;11:59 p. m.;;;assignment/03-eval-dag;;;;
Principios de inferencia;Sesión 6;20/08/2022;;Estimación bajo inferencia clásica;;content/06-content;;;;;;
Principios de inferencia;Sesión 6;20/08/2022;18/09/2022;Problem set 6;11:59 p. m.;;;assignment/04-eval-threats;;;;
Principios de inferencia;Sesión 7;27/08/2022;;Estimación bajo inferencia por remuestreo;;content/07-content;example/matching-ipw;;;;;
Principios de inferencia;Sesión 7;27/08/2022;25/09/2022;Problem set 7;11:59 p. m.;;;assignment/03-problem-set;;;;
Principios de inferencia;Sesión 8;27/08/2022;;Pruebas de hipótesis: Paradigma clásico y bajo remuestreo;;content/08-content;example/diff-in-diff;;;;;
Principios de inferencia;Sesión 8;27/08/2022;2/10/2022;Problem set 8;11:59 p. m.;;;assignment/04-problem-set;;;;
Herramientas;Sesión 9;3/09/2022;;Pruebas de hipótesis para 1 y 2 grupos;;content/09-content;;;;;;
Herramientas;Sesión 9;3/09/2022;9/10/2022;Problem set 9;11:59 p. m.;;;assignment/05-problem-set;;;;
Herramientas;Sesión 10;3/09/2022;;Pruebas de hipótesis para 3 o más grupos;;content/10-content;example/rdd;;;;;
Herramientas;Sesión 10;3/09/2022;16/10/2022;Problem set 10;11:59 p. m.;;;assignment/06-problem-set;;;;
Herramientas;Sesión 11;10/09/2022;;Pruebas de hipótesis para proporciones;;content/11-content;example/iv;;;;;
Herramientas;Sesión 11;10/09/2022;23/10/2022;Problem set 11;11:59 p. m.;;;assignment/07-problem-set;;;;
Aplicaciones;Sesión 12;10/09/2022;;Intervalos de confianza: buenas prácticas y errores de concepto;;content/12-content;example/rdd-fuzzy;;;;;
Aplicaciones;Sesión 12;10/09/2022;30/10/2022;Problem set 12;11:59 p. m.;;;assignment/08-problem-set;;;;
Aplicaciones;Sesión 13;17/09/2022;;Valor p: buenas prácticas y errores de concepto;;content/13-content;example/synthetic-data;;;;;
Aplicaciones;Sesión 13;17/09/2022;6/11/2022;Problem set 13;11:59 p. m.;;;assignment/09-problem-set;;;;
Aplicaciones;Sesión 14;17/09/2022;;Reporte reproducible de inferencia estadística;;content/14-content;;;;;;
Aplicaciones;Sesión 14;17/09/2022;13/11/2022;Problem set 14;;;;assignment/final-project;;;;
